title	type	url_slug	venue	date	location	talk_url	description
High-efficiency quantum rectenna for millimeter wave and terahertz technologies	Talk	APS2023	APS March Meeting 2023	2023/3/10	"Las Vegas, Nevada"	https://meetings.aps.org/Meeting/MAR23/Session/Y43.8	"Talk at APS March Meeting 2023. A related paper is Phys. Rev. B 110, 075122 (2024) (preprint is at https://arxiv.org/abs/2211.17219)"
"Quantum geometry, Optical property, and Energy gap"	Seminar	AS2024Feb	Academia Sinica	2024/2/22	"Taipei, Taiwan"		"Seminar at Academia Sinica in Taipei, Taiwan. Hosted by Prof. Hsin Lin."
"Quantum geometry, Optical property, and Energy gap"	Seminar	NTU2024Feb	National Taiwan University	2024/2/23	"Taipei, Taiwan"	https://www.phys.ncts.ntu.edu.tw/en/act/TG3_1act/%5BNCTS-Phys-seminar%5D%C2%A0Quantum-geometry-Optical-property-and-Energy-gap-31732265	"Seminar at National Taiwan University in Taipei, Taiwan. Hosted by Prof. Chang-Tse Hsieh."
"Quantum geometry, Optical property, and Energy gap"	Seminar	NCKU2024Feb	National Cheng Kung University	2024/2/27	"Tainan, Taiwan"	https://www.phys.ncku.edu.tw/en/colloquia-detail/544/	"Seminar at Cheng Kung University in Tainan, Taiwan. Hosted by Prof. Tay-Rong Chang."
Fundamental bound on topological gap	Talk	APS2024	APS March Meeting 2024	2024/3/8	"Minneapolis, Minnesota"	https://meetings.aps.org/Meeting/MAR24/Session/Y17.12	Talk at APS March Meeting 2024. A related publication is https://journals.aps.org/prx/abstract/10.1103/PhysRevX.14.011052
Fundamental gap abound in insulators	Seminar	HarvardKids2024	Harvard CMT Kids' Seminar	2024/3/26	"Cambridge, Massachusetts"	http://cmt.harvard.edu/kidseminar.html	Harvard CMT Kids窶・Seminar. 
Fundamental gap bound in insulators	Seminar	UCLA2024Apr	Group meeting of Narang group at UCLA	2024/4/3	Online		Informal seminar at Narang group at UCLA.
Quantum weight	Seminar	DelftU2024Apr	Speakers窶・Corner Talk 	2024/4/5	Online	https://virtualscienceforum.org/speakers-corner/	Hosted by Virtual Science Forum. The recording is avaliable at https://virtualscienceforum.org/speakers-corner/
Fundamental bound on topological gap	Seminar	ETH2024Apr	ETH Zurich	2024/4/10	"ETH Zurich, Switzerland"	https://www.lifescience.net/events/69335/yugo-onishi-mit-usa-fundamental-bound-on-topolocia/	Seminar at ETH Zurich. Hosted by Prof. Ataﾃｧ ﾄｰmamoﾄ殕u.
Fundamental gap bound in insulators	Talk	NQCM2024May	NQCM2024	2024/5/25	"University of Tokyo, Japan"	https://sites.google.com/view/nqcm2024/home?authuser=0	Invited talk for a workshop at University of Tokyo. 
Fundamental gap bound in insulators	Seminar	Fujimoto2024May	Seminar at Fujimoto group at Osaka University	2024/5/28	"Osaka University, Japan"	http://www.fujimotolab.mp.es.osaka-u.ac.jp/pastseminar2024.html	Seminar at Fujimoto group at Osaka University. 
Fundamental bound on topological gap	Talk	Emergent2024May	蜑ｵ逋ｺ迴ｾ雎｡縺ｮ繝輔Ο繝ｳ繝・ぅ繧｢workshop at Kyoto University	2024/5/29	"Kyoto University, Japan"	https://sites.google.com/view/emergent2024	Contributed talk at 蜑ｵ逋ｺ迴ｾ雎｡縺ｮ繝輔Ο繝ｳ繝・ぅ繧｢ workshop
Universal bound in topological phase	Talk	QuantumDesigner2024Jul	Quantum Designer Physics 2024	2024/7/18	"San Sebastian, Spain"	https://qdp2024.dipc.org/speakers/program	Contributed talk at Quantum Designer Physics 2024
Topology and Geometry in Structure factor	Seminar	ETH2025Jan	ETH Zurich	2025/1/21	"ETH Zurich, Switzerland"		Seminar at ETH Zurich. Hosted by Prof. Ataﾃｧ ﾄｰmamoﾄ殕u.
Repulsive Casimir force from Quantum Geometry	Talk	ISSP2025Jan	"The Institute for Solid State Physics, The University of Tokyo"	2025/2/4	"University of Tokyo, Japan"	https://sites.google.com/g.ecc.u-tokyo.ac.jp/issp-topo-2026/home?authuser=0	"Invited talk in the program ""New Frontiers of Geometry and Topology in Condensed Matter Physics"" at ISSP, UTokyo."
Topological Bound on Structure Factor	Talk	APS2025	APS Global Physics Summit 2025	2025/3/17	"Anaheim, California"	https://meetings-archive.aps.org/smt/2025/mar-a22/4/	"Contributed talk at APS Global Physics Summit 2025. A related paper is Phys. Rev. Lett. 133, 206602 (2024)"
